Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
agrest3,io.agrest.cayenne.processor.unrelate.stage,CayenneUnrelateDataStoreStage,Law of Demeter violation,The tool detected the smell in this method (unrelateAll) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.meta.AgEntity.getRelationship; io.agrest.meta.AgSchema.getEntity
agrest3,io.agrest.cayenne.processor.update.stage,CayenneFillResponseStage,Law of Demeter violation,The tool detected the smell in this method (doExecute) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.RootResourceEntity.setData; io.agrest.runtime.processor.update.UpdateContext.getEntity
agrest3,io.agrest.cayenne.processor.update.stage,CayenneFillResponseStage,Law of Demeter violation,The tool detected the smell in this method (assignChildrenToParent) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getAgEntity; io.agrest.meta.AgEntity.getIdReader
agrest3,io.agrest.cayenne.processor.update.stage,CayenneFillResponseStage,Law of Demeter violation,The tool detected the smell in this method (assignChildrenToParent) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.meta.AgRelationship.getName; io.agrest.RelatedResourceEntity.getIncoming
agrest3,io.agrest.cayenne.processor.update.stage,CayenneMapIdempotentFullSyncStage,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
agrest3,io.agrest.cayenne.processor.update.stage,CayenneMapIdempotentFullSyncStage,Law of Demeter violation,The tool detected the smell in this method (collectUpdateDeleteOps) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getAgEntity; io.agrest.runtime.processor.update.UpdateContext.getEntity
agrest3,io.agrest.cayenne.processor.update.stage,CayenneMapIdempotentFullSyncStage,Law of Demeter violation,The tool detected the smell in this method (existingObjects) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getName; io.agrest.runtime.processor.update.UpdateContext.getEntity
agrest3,io.agrest.cayenne.processor.update.stage,CayenneMapUpdateStage,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 18
agrest3,io.agrest.cayenne.processor.update.stage,CayenneMapUpdateStage,Law of Demeter violation,The tool detected the smell in this method (collectCreateOps) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getName; io.agrest.runtime.processor.update.UpdateContext.getEntity
agrest3,io.agrest.cayenne.processor.update.stage,CayenneMapUpdateStage,Law of Demeter violation,The tool detected the smell in this method (existingObjects) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getName; io.agrest.runtime.processor.update.UpdateContext.getEntity
agrest3,io.agrest.cayenne.processor.update.stage,CayenneMapUpdateStage,Law of Demeter violation,The tool detected the smell in this method (buildRootQuery) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.cayenne.processor.CayenneRootResourceEntityExt.setSelect; io.agrest.cayenne.processor.CayenneProcessor.getRootEntity
agrest3,io.agrest.cayenne.processor.update.stage,CayenneMapUpdateStage,Law of Demeter violation,The tool detected the smell in this method (buildRelatedQuery) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.RelatedResourceEntity.getParent; io.agrest.ResourceEntity.getName
agrest3,io.agrest.cayenne.processor.update.stage,CayenneMapUpdateStage,Law of Demeter violation,The tool detected the smell in this method (buildRelatedQuery) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.meta.AgRelationship.getName; io.agrest.RelatedResourceEntity.getIncoming
agrest3,io.agrest.cayenne.processor.update.stage,CayenneMapUpdateStage,Law of Demeter violation,The tool detected the smell in this method (fetchRootEntity) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.cayenne.processor.CayenneRootResourceEntityExt.getSelect; io.agrest.cayenne.processor.CayenneProcessor.getRootEntity
agrest3,io.agrest.cayenne.processor.update.stage,CayenneMapUpdateStage,Law of Demeter violation,The tool detected the smell in this method (assignChildrenToParent) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getAgEntity; io.agrest.meta.AgEntity.getIdParts
agrest3,io.agrest.cayenne.processor.update.stage,CayenneMergeChangesStage,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
agrest3,io.agrest.cayenne.processor.update.stage,CayenneMergeChangesStage,Law of Demeter violation,The tool detected the smell in this method (create) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getAgEntity; io.agrest.runtime.processor.update.UpdateContext.getEntity
agrest3,io.agrest.cayenne.processor.update.stage,CayenneMergeChangesStage,Law of Demeter violation,The tool detected the smell in this method (mergeChanges) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.meta.AgEntity.getRelationship; io.agrest.EntityUpdate.getEntity
agrest3,io.agrest.cayenne.processor.update.stage,CayenneMergeChangesStage,Law of Demeter violation,The tool detected the smell in this method (mergeChanges) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.meta.AgRelationship.getTargetEntity; io.agrest.meta.AgEntity.getName
agrest3,io.agrest.cayenne.processor.update.stage,CayenneMergeChangesStage,Law of Demeter violation,The tool detected the smell in this method (mergeChanges) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.meta.AgEntity.getRelationship; io.agrest.EntityUpdate.getEntity
agrest3,io.agrest.cayenne.processor.update.stage,CayenneMergeChangesStage,Law of Demeter violation,The tool detected the smell in this method (mergeChanges) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.meta.AgRelationship.getTargetEntity; io.agrest.meta.AgEntity.getName
agrest3,io.agrest.cayenne.processor.update.stage,CayenneMergeChangesStage,Law of Demeter violation,The tool detected the smell in this method (createParentRelator) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.meta.AgEntity.getRelationship; io.agrest.meta.AgRelationship.isToMany
agrest3,io.agrest.cayenne.processor.update.stage,CayenneMergeChangesStage,Law of Demeter violation,The tool detected the smell in this method (dbAttributeForAgAttribute) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.cayenne.path.PathDescriptor.getPathExp; io.agrest.cayenne.path.IPathResolver.resolve
agrest3,io.agrest.cayenne.processor.update.stage,CayenneUpdateApplyServerParamsStage,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
agrest3,io.agrest.cayenne.processor.update.stage,CayenneUpdateApplyServerParamsStage,Law of Demeter violation,The tool detected the smell in this method (tagRootEntity) because the method voilates the law of Demeter. The long chain of method invocations is : io.agrest.ResourceEntity.getMapBy; io.agrest.ResourceEntity.getChildren
